bg_count,burst_thinktime,bg_rw,bg_bs,bg_iodepth,burst_rw,burst_bs,burst_iodepth,iteration,scheduler,背景流总带宽KB/s,突发任务带宽KB/s,总体带宽KB/s,背景流总带宽MB/s,突发任务带宽MB/s,总体带宽MB/s,突发任务平均延迟us,突发任务99%延迟us
测试名称,模式,背景流总带宽(KB/s),突发任务带宽(KB/s),总体带宽(KB/s),背景流总带宽(MB/s),突发任务带宽(MB/s),总体带宽(MB/s),突发任务平均延迟(μs),突发任务99%延迟(μs)
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-64k_bg_iodepth-4_bg_count-4_iter-2,bfq_limit,7371970,39,7372009,7199,0,7199,36,142
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-64k_bg_iodepth-4_bg_count-4_iter-3,none,7944668,39,7944707,7758,0,7758,30,78
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-64k_bg_iodepth-4_bg_count-4_iter-3,bfq,7844113,39,7844152,7660,0,7660,36,129
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-64k_bg_iodepth-4_bg_count-4_iter-3,bfq_limit,7357032,39,7357071,7184,0,7184,42,175
测试名称,模式,背景流总带宽(KB/s),突发任务带宽(KB/s),总体带宽(KB/s),背景流总带宽(MB/s),突发任务带宽(MB/s),总体带宽(MB/s),突发任务平均延迟(μs),突发任务99%延迟(μs)
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-256k_bg_iodepth-4_bg_count-4_iter-1,none,14150324,39,14150363,13818,0,13818,202,289
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-256k_bg_iodepth-4_bg_count-4_iter-1,bfq,13269846,39,13269885,12958,0,12958,212,272
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-256k_bg_iodepth-4_bg_count-4_iter-1,bfq_limit,13313004,39,13313043,13000,0,13001,201,289
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-256k_bg_iodepth-4_bg_count-4_iter-2,none,14355044,39,14355083,14018,0,14018,200,285
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-256k_bg_iodepth-4_bg_count-4_iter-2,bfq,13175098,39,13175137,12866,0,12866,205,281
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-256k_bg_iodepth-4_bg_count-4_iter-2,bfq_limit,13208053,39,13208092,12898,0,12898,204,276
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-256k_bg_iodepth-4_bg_count-4_iter-3,none,14572868,39,14572907,14231,0,14231,207,317
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-256k_bg_iodepth-4_bg_count-4_iter-3,bfq,13117058,39,13117097,12809,0,12809,211,322
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-256k_bg_iodepth-4_bg_count-4_iter-3,bfq_limit,13294865,39,13294904,12983,0,12983,202,281
测试名称,模式,背景流总带宽(KB/s),突发任务带宽(KB/s),总体带宽(KB/s),背景流总带宽(MB/s),突发任务带宽(MB/s),总体带宽(MB/s),突发任务平均延迟(μs),突发任务99%延迟(μs)
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-1024k_bg_iodepth-4_bg_count-4_iter-1,none,12232435,39,12232474,11945,0,11945,1181,1466
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-1024k_bg_iodepth-4_bg_count-4_iter-1,bfq,11649474,39,11649513,11376,0,11376,1147,1434
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-1024k_bg_iodepth-4_bg_count-4_iter-1,bfq_limit,11300650,39,11300689,11035,0,11035,254,416
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-1024k_bg_iodepth-4_bg_count-4_iter-2,none,11894629,39,11894668,11615,0,11615,1189,1466
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-1024k_bg_iodepth-4_bg_count-4_iter-2,bfq,11646161,39,11646200,11373,0,11373,1141,1466
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-1024k_bg_iodepth-4_bg_count-4_iter-2,bfq_limit,11280733,39,11280772,11016,0,11016,234,354
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-1024k_bg_iodepth-4_bg_count-4_iter-3,none,11934264,39,11934303,11654,0,11654,1218,1532
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-1024k_bg_iodepth-4_bg_count-4_iter-3,bfq,11428047,39,11428086,11160,0,11160,1156,1384
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-1024k_bg_iodepth-4_bg_count-4_iter-3,bfq_limit,11309014,39,11309053,11043,0,11043,251,416
测试名称,模式,背景流总带宽(KB/s),突发任务带宽(KB/s),总体带宽(KB/s),背景流总带宽(MB/s),突发任务带宽(MB/s),总体带宽(MB/s),突发任务平均延迟(μs),突发任务99%延迟(μs)
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4096k_bg_iodepth-4_bg_count-4_iter-1,none,12296472,38,12296510,12008,0,12008,2927,3654
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4096k_bg_iodepth-4_bg_count-4_iter-1,bfq,11677561,39,11677600,11403,0,11403,2305,2933
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4096k_bg_iodepth-4_bg_count-4_iter-1,bfq_limit,10759637,39,10759676,10507,0,10507,276,481
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4096k_bg_iodepth-4_bg_count-4_iter-2,none,12268246,38,12268284,11980,0,11980,3233,3686
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4096k_bg_iodepth-4_bg_count-4_iter-2,bfq,11693774,39,11693813,11419,0,11419,2291,2933
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4096k_bg_iodepth-4_bg_count-4_iter-2,bfq_limit,10748011,39,10748050,10496,0,10496,280,518
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4096k_bg_iodepth-4_bg_count-4_iter-3,none,12281548,38,12281586,11993,0,11993,2883,3785
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4096k_bg_iodepth-4_bg_count-4_iter-3,bfq,11679359,39,11679398,11405,0,11405,2248,2867
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4096k_bg_iodepth-4_bg_count-4_iter-3,bfq_limit,10718227,39,10718266,10467,0,10467,285,506
测试名称,模式,背景流总带宽(KB/s),突发任务带宽(KB/s),总体带宽(KB/s),背景流总带宽(MB/s),突发任务带宽(MB/s),总体带宽(MB/s),突发任务平均延迟(μs),突发任务99%延迟(μs)
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-8_iter-1,none,627992,39,628031,613,0,613,56,67
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-8_iter-1,bfq,600855,39,600894,586,0,586,55,78
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-8_iter-1,bfq_limit,601759,39,601798,587,0,587,55,78
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-8_iter-2,none,635369,39,635408,620,0,620,60,78
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-8_iter-2,bfq,639302,39,639341,624,0,624,54,74
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-8_iter-2,bfq_limit,599777,39,599816,585,0,585,62,101
