配置编号,Background数量,块大小,调度器模式,具体配置,运行次数,Sustained吞吐量,Burst延迟(μs),突发轮次,queue_MB均值,queue_MB峰值,完成时间
4,2,4096K,duet_same,duet_same(16777216),1,7.284GB/s,2123.83,266,13.24,16.78,2026年 05月 21日 星期四 00:06:01 CST
4,2,4096K,duet_same,duet_same(8388608),1,7.265GB/s,999.57,268,6.19,8.52,2026年 05月 21日 星期四 00:07:02 CST
4,2,4096K,duet_same,duet_same(4194304),1,7.239GB/s,432.72,271,2.51,4.33,2026年 05月 21日 星期四 00:08:03 CST
4,2,4096K,duet_same,duet_same(2097152),1,6.513GB/s,266.33,271,1.22,2.23,2026年 05月 21日 星期四 00:09:04 CST
4,2,4096K,duet_same,duet_same(1048576),1,5.722GB/s,186.59,271,0.84,1.18,2026年 05月 21日 星期四 00:10:05 CST
4,2,4096K,duet_dual,duet_dual(2097152/1048576),1,6.485GB/s,189.76,271,0.96,2.23,2026年 05月 21日 星期四 00:11:06 CST
4,2,4096K,duet_dual,duet_dual(2097152/524288),1,6.502GB/s,124.26,272,1.26,2.23,2026年 05月 21日 星期四 00:12:07 CST
4,2,4096K,duet_dual,duet_dual(2097152/262144),1,6.400GB/s,103.85,274,1.16,2.23,2026年 05月 21日 星期四 00:13:08 CST
4,2,4096K,none,none,2,7.531GB/s,3735.87,266,N/A,N/A,2026年 05月 21日 星期四 00:13:54 CST
4,2,4096K,bfq,bfq,2,7.305GB/s,3734.07,266,27.31,32.51,2026年 05月 21日 星期四 00:14:36 CST
4,2,4096K,duet_same,duet_same(16777216),2,7.280GB/s,2113.44,266,13.41,16.91,2026年 05月 21日 星期四 00:15:37 CST
4,2,4096K,duet_same,duet_same(8388608),2,7.269GB/s,1012.84,268,6.03,8.52,2026年 05月 21日 星期四 00:16:38 CST
4,2,4096K,duet_same,duet_same(4194304),2,7.229GB/s,459.14,271,2.72,4.33,2026年 05月 21日 星期四 00:17:39 CST
4,2,4096K,duet_same,duet_same(2097152),2,6.483GB/s,275.56,271,1.15,2.23,2026年 05月 21日 星期四 00:18:40 CST
4,2,4096K,duet_same,duet_same(1048576),2,5.726GB/s,196.62,271,0.69,1.18,2026年 05月 21日 星期四 00:19:41 CST
4,2,4096K,duet_dual,duet_dual(2097152/1048576),2,6.517GB/s,201.96,271,1.15,2.23,2026年 05月 21日 星期四 00:20:42 CST
4,2,4096K,duet_dual,duet_dual(2097152/524288),2,6.325GB/s,129.98,272,1.28,2.23,2026年 05月 21日 星期四 00:21:43 CST
4,2,4096K,duet_dual,duet_dual(2097152/262144),2,6.357GB/s,95.96,275,1.04,2.23,2026年 05月 21日 星期四 00:22:44 CST
4,2,4096K,none,none,3,7.531GB/s,3733.66,266,N/A,N/A,2026年 05月 21日 星期四 00:23:31 CST
4,2,4096K,bfq,bfq,3,7.303GB/s,3742.12,266,27.4,32.77,2026年 05月 21日 星期四 00:24:12 CST
