bg_count,burst_thinktime,bg_rw,bg_bs,bg_iodepth,burst_rw,burst_bs,burst_iodepth,iteration,scheduler,背景流总带宽KB/s,突发任务带宽KB/s,总体带宽KB/s,背景流总带宽MB/s,突发任务带宽MB/s,总体带宽MB/s,突发任务平均延迟us,突发任务99%延迟us
测试名称,模式,背景流总带宽(KB/s),突发任务带宽(KB/s),总体带宽(KB/s),背景流总带宽(MB/s),突发任务带宽(MB/s),总体带宽(MB/s),突发任务平均延迟(μs),突发任务99%延迟(μs)
测试名称,模式,背景流总带宽(KB/s),突发任务带宽(KB/s),总体带宽(KB/s),背景流总带宽(MB/s),突发任务带宽(MB/s),总体带宽(MB/s),突发任务平均延迟(μs),突发任务99%延迟(μs)
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4096k_bg_iodepth-4_bg_count-2_iter-1,none,13086014,39,13086053,12779,0,12779,2196,2540
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4096k_bg_iodepth-4_bg_count-2_iter-1,bfq,12207728,39,12207767,11921,0,11921,2158,2408
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4096k_bg_iodepth-4_bg_count-2_iter-1,bfq_limit,10394120,39,10394159,10150,0,10150,261,473
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4096k_bg_iodepth-4_bg_count-2_iter-2,none,13138216,39,13138255,12830,0,12830,2216,2572
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4096k_bg_iodepth-4_bg_count-2_iter-2,bfq,12208547,39,12208586,11922,0,11922,2168,2474
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4096k_bg_iodepth-4_bg_count-2_iter-2,bfq_limit,10229897,39,10229936,9990,0,9990,267,465
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4096k_bg_iodepth-4_bg_count-2_iter-3,none,13199586,39,13199625,12890,0,12890,2206,2507
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4096k_bg_iodepth-4_bg_count-2_iter-3,bfq,12158591,39,12158630,11873,0,11873,2176,2507
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4096k_bg_iodepth-4_bg_count-2_iter-3,bfq_limit,10250374,39,10250413,10010,0,10010,258,473
测试名称,模式,背景流总带宽(KB/s),突发任务带宽(KB/s),总体带宽(KB/s),背景流总带宽(MB/s),突发任务带宽(MB/s),总体带宽(MB/s),突发任务平均延迟(μs),突发任务99%延迟(μs)
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-4_iter-1,none,543641,39,543680,530,0,530,45,75
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-4_iter-1,bfq,537823,39,537862,525,0,525,42,75
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-4_iter-1,bfq_limit,525200,39,525239,512,0,512,39,87
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-4_iter-2,none,543470,39,543509,530,0,530,53,140
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-4_iter-2,bfq,540425,39,540464,527,0,527,49,88
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-4_iter-2,bfq_limit,540810,39,540849,528,0,528,36,94
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-4_iter-3,none,542943,39,542982,530,0,530,33,75
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-4_iter-3,bfq,524617,39,524656,512,0,512,36,71
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-4k_bg_iodepth-4_bg_count-4_iter-3,bfq_limit,519504,39,519543,507,0,507,36,78
测试名称,模式,背景流总带宽(KB/s),突发任务带宽(KB/s),总体带宽(KB/s),背景流总带宽(MB/s),突发任务带宽(MB/s),总体带宽(MB/s),突发任务平均延迟(μs),突发任务99%延迟(μs)
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-16k_bg_iodepth-4_bg_count-4_iter-1,none,2246689,39,2246728,2194,0,2194,29,72
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-16k_bg_iodepth-4_bg_count-4_iter-1,bfq,2180651,39,2180690,2129,0,2129,52,108
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-16k_bg_iodepth-4_bg_count-4_iter-1,bfq_limit,2230502,39,2230541,2178,0,2178,35,77
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-16k_bg_iodepth-4_bg_count-4_iter-2,none,2250007,39,2250046,2197,0,2197,31,144
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-16k_bg_iodepth-4_bg_count-4_iter-2,bfq,2230804,39,2230843,2178,0,2178,34,122
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-16k_bg_iodepth-4_bg_count-4_iter-2,bfq_limit,2221238,39,2221277,2169,0,2169,35,80
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-16k_bg_iodepth-4_bg_count-4_iter-3,none,2260028,39,2260067,2207,0,2207,32,167
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-16k_bg_iodepth-4_bg_count-4_iter-3,bfq,2239671,39,2239710,2187,0,2187,34,84
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-16k_bg_iodepth-4_bg_count-4_iter-3,bfq_limit,2237115,39,2237154,2184,0,2184,35,157
测试名称,模式,背景流总带宽(KB/s),突发任务带宽(KB/s),总体带宽(KB/s),背景流总带宽(MB/s),突发任务带宽(MB/s),总体带宽(MB/s),突发任务平均延迟(μs),突发任务99%延迟(μs)
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-64k_bg_iodepth-4_bg_count-4_iter-1,none,7895523,39,7895562,7710,0,7710,33,159
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-64k_bg_iodepth-4_bg_count-4_iter-1,bfq,7853149,39,7853188,7669,0,7669,52,148
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-64k_bg_iodepth-4_bg_count-4_iter-1,bfq_limit,7804943,39,7804982,7622,0,7622,58,151
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-64k_bg_iodepth-4_bg_count-4_iter-2,none,7810617,39,7810656,7627,0,7627,34,99
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-64k_bg_iodepth-4_bg_count-4_iter-2,bfq,7849408,39,7849447,7665,0,7665,36,151
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-64k_bg_iodepth-4_bg_count-4_iter-2,bfq_limit,7630768,39,7630807,7451,0,7451,42,165
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-64k_bg_iodepth-4_bg_count-4_iter-3,none,7874768,39,7874807,7690,0,7690,33,111
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-64k_bg_iodepth-4_bg_count-4_iter-3,bfq,7717875,39,7717914,7536,0,7537,35,118
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-64k_bg_iodepth-4_bg_count-4_iter-3,bfq_limit,7879234,39,7879273,7694,0,7694,39,181
测试名称,模式,背景流总带宽(KB/s),突发任务带宽(KB/s),总体带宽(KB/s),背景流总带宽(MB/s),突发任务带宽(MB/s),总体带宽(MB/s),突发任务平均延迟(μs),突发任务99%延迟(μs)
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-256k_bg_iodepth-4_bg_count-4_iter-1,none,14581808,39,14581847,14240,0,14240,215,317
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-256k_bg_iodepth-4_bg_count-4_iter-1,bfq,12641288,39,12641327,12345,0,12345,204,281
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-256k_bg_iodepth-4_bg_count-4_iter-1,bfq_limit,13173170,39,13173209,12864,0,12864,209,272
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-256k_bg_iodepth-4_bg_count-4_iter-2,none,14569507,39,14569546,14228,0,14228,205,330
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-256k_bg_iodepth-4_bg_count-4_iter-2,bfq,13232884,39,13232923,12922,0,12922,205,272
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-256k_bg_iodepth-4_bg_count-4_iter-2,bfq_limit,12941370,39,12941409,12638,0,12638,206,272
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-256k_bg_iodepth-4_bg_count-4_iter-3,none,13592215,39,13592254,13273,0,13273,207,297
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-256k_bg_iodepth-4_bg_count-4_iter-3,bfq,13188903,39,13188942,12879,0,12879,200,281
burst_bs-4k_burst_iodepth-1_burst_thinktime-100ms_burst_thinktime_blocks-1_bg_bs-256k_bg_iodepth-4_bg_count-4_iter-3,bfq_limit,13225714,39,13225753,12915,0,12915,202,301
