配置编号,Background数量,块大小,调度器模式,具体配置,运行次数,Sustained吞吐量,Burst延迟(μs),突发轮次,完成时间
5,2,1M,bfq,bfq,2,11.703GB/s,573.03,271,2025年 08月 08日 星期五 14:28:15 CST
5,2,1M,duet_same,duet_same(16777216),2,11.596GB/s,581.36,271,2025年 08月 08日 星期五 14:28:57 CST
5,2,1M,duet_same,duet_same(8388608),2,11.489GB/s,590.70,271,2025年 08月 08日 星期五 14:29:38 CST
5,2,1M,duet_same,duet_same(4194304),2,11.381GB/s,307.51,271,2025年 08月 08日 星期五 14:30:20 CST
5,2,1M,duet_same,duet_same(2097152),2,9.960GB/s,213.25,271,2025年 08月 08日 星期五 14:31:02 CST
5,2,1M,duet_same,duet_same(1048576),2,8.372GB/s,149.05,272,2025年 08月 08日 星期五 14:31:43 CST
5,2,1M,duet_dual,duet_dual(4194304/3145728),2,11.381GB/s,244.19,271,2025年 08月 08日 星期五 14:32:25 CST
5,2,1M,duet_dual,duet_dual(4194304/2097152),2,11.489GB/s,202.12,271,2025年 08月 08日 星期五 14:33:07 CST
5,2,1M,duet_dual,duet_dual(4194304/1048576),2,11.596GB/s,163.00,272,2025年 08月 08日 星期五 14:33:48 CST
5,2,1M,none,none,3,11.918GB/s,626.28,271,2025年 08月 08日 星期五 14:34:35 CST
5,2,1M,bfq,bfq,3,11.703GB/s,571.63,271,2025年 08月 08日 星期五 14:35:17 CST
5,2,1M,duet_same,duet_same(16777216),3,11.811GB/s,560.63,271,2025年 08月 08日 星期五 14:35:58 CST
5,2,1M,duet_same,duet_same(8388608),3,11.489GB/s,587.22,271,2025年 08月 08日 星期五 14:36:40 CST
5,2,1M,duet_same,duet_same(4194304),3,11.381GB/s,303.61,271,2025年 08月 08日 星期五 14:37:22 CST
5,2,1M,duet_same,duet_same(2097152),3,9.909GB/s,207.64,271,2025年 08月 08日 星期五 14:38:03 CST
5,2,1M,duet_same,duet_same(1048576),3,8.372GB/s,152.09,272,2025年 08月 08日 星期五 14:38:45 CST
5,2,1M,duet_dual,duet_dual(4194304/3145728),3,11.489GB/s,245.50,271,2025年 08月 08日 星期五 14:39:27 CST
5,2,1M,duet_dual,duet_dual(4194304/2097152),3,11.596GB/s,199.48,271,2025年 08月 08日 星期五 14:40:08 CST
5,2,1M,duet_dual,duet_dual(4194304/1048576),3,11.596GB/s,155.54,272,2025年 08月 08日 星期五 14:40:50 CST
6,2,4M,none,none,1,12.777GB/s,2415.39,266,2025年 08月 08日 星期五 14:41:42 CST
6,2,4M,bfq,bfq,1,11.703GB/s,2400.33,266,2025年 08月 08日 星期五 14:42:23 CST
6,2,4M,duet_same,duet_same(16777216),1,11.596GB/s,1221.50,267,2025年 08月 08日 星期五 14:43:05 CST
6,2,4M,duet_same,duet_same(8388608),1,11.918GB/s,568.20,271,2025年 08月 08日 星期五 14:43:47 CST
6,2,4M,duet_same,duet_same(4194304),1,10.121GB/s,290.74,271,2025年 08月 08日 星期五 14:44:28 CST
6,2,4M,duet_same,duet_same(2097152),1,8.804GB/s,182.89,271,2025年 08月 08日 星期五 14:45:10 CST
6,2,4M,duet_same,duet_same(1048576),1,8.248GB/s,150.51,272,2025年 08月 08日 星期五 14:45:52 CST
6,2,4M,duet_dual,duet_dual(4194304/3145728),1,10.176GB/s,239.21,271,2025年 08月 08日 星期五 14:46:33 CST
6,2,4M,duet_dual,duet_dual(4194304/2097152),1,10.198GB/s,191.75,271,2025年 08月 08日 星期五 14:47:15 CST
6,2,4M,duet_dual,duet_dual(4194304/1048576),1,10.180GB/s,166.99,272,2025年 08月 08日 星期五 14:47:57 CST
6,2,4M,none,none,2,12.777GB/s,2452.83,266,2025年 08月 08日 星期五 14:48:43 CST
6,2,4M,bfq,bfq,2,11.703GB/s,2397.21,266,2025年 08月 08日 星期五 14:49:25 CST
6,2,4M,duet_same,duet_same(16777216),2,11.596GB/s,1221.36,267,2025年 08月 08日 星期五 14:50:07 CST
6,2,4M,duet_same,duet_same(8388608),2,11.918GB/s,548.03,271,2025年 08月 08日 星期五 14:50:48 CST
6,2,4M,duet_same,duet_same(4194304),2,10.081GB/s,285.44,271,2025年 08月 08日 星期五 14:51:30 CST
6,2,4M,duet_same,duet_same(2097152),2,8.794GB/s,181.54,272,2025年 08月 08日 星期五 14:52:12 CST
6,2,4M,duet_same,duet_same(1048576),2,8.223GB/s,153.12,272,2025年 08月 08日 星期五 14:52:53 CST
6,2,4M,duet_dual,duet_dual(4194304/3145728),2,10.129GB/s,236.62,271,2025年 08月 08日 星期五 14:53:35 CST
6,2,4M,duet_dual,duet_dual(4194304/2097152),2,10.147GB/s,193.57,271,2025年 08月 08日 星期五 14:54:17 CST
6,2,4M,duet_dual,duet_dual(4194304/1048576),2,10.177GB/s,157.08,272,2025年 08月 08日 星期五 14:54:58 CST
6,2,4M,none,none,3,12.670GB/s,2452.70,266,2025年 08月 08日 星期五 14:55:45 CST
6,2,4M,bfq,bfq,3,11.703GB/s,2394.90,266,2025年 08月 08日 星期五 14:56:27 CST
6,2,4M,duet_same,duet_same(16777216),3,11.596GB/s,1218.35,267,2025年 08月 08日 星期五 14:57:08 CST
6,2,4M,duet_same,duet_same(8388608),3,11.918GB/s,555.78,271,2025年 08月 08日 星期五 14:57:50 CST
6,2,4M,duet_same,duet_same(4194304),3,10.132GB/s,296.11,271,2025年 08月 08日 星期五 14:58:32 CST
