测试名称,总带宽(KB/s),值,总带宽(MB/s),值,平均单流带宽(KB/s),值,平均单流带宽(MB/s),值
bgonly_rw-read_bs-16k_iodepth-256_count-8_iter-3,总带宽(KB/s),4292519,总带宽(MB/s),4191,平均单流带宽(KB/s),536564,平均单流带宽(MB/s),523
bgonly_rw-read_bs-16k_iodepth-1024_count-1_iter-1,总带宽(KB/s),8673181,总带宽(MB/s),8469,平均单流带宽(KB/s),8673181,平均单流带宽(MB/s),8469
bgonly_rw-read_bs-16k_iodepth-1024_count-1_iter-2,总带宽(KB/s),8661296,总带宽(MB/s),8458,平均单流带宽(KB/s),8661296,平均单流带宽(MB/s),8458
bgonly_rw-read_bs-16k_iodepth-1024_count-1_iter-3,总带宽(KB/s),8682936,总带宽(MB/s),8479,平均单流带宽(KB/s),8682936,平均单流带宽(MB/s),8479
bgonly_rw-read_bs-16k_iodepth-1024_count-8_iter-1,总带宽(KB/s),4290468,总带宽(MB/s),4189,平均单流带宽(KB/s),536308,平均单流带宽(MB/s),523
bgonly_rw-read_bs-16k_iodepth-1024_count-8_iter-2,总带宽(KB/s),4310204,总带宽(MB/s),4209,平均单流带宽(KB/s),538775,平均单流带宽(MB/s),526
bgonly_rw-read_bs-16k_iodepth-1024_count-8_iter-3,总带宽(KB/s),4327857,总带宽(MB/s),4226,平均单流带宽(KB/s),540982,平均单流带宽(MB/s),528
bgonly_rw-read_bs-64k_iodepth-1_count-1_iter-1,总带宽(KB/s),4609113,总带宽(MB/s),4501,平均单流带宽(KB/s),4609113,平均单流带宽(MB/s),4501
bgonly_rw-read_bs-64k_iodepth-1_count-1_iter-2,总带宽(KB/s),4575865,总带宽(MB/s),4468,平均单流带宽(KB/s),4575865,平均单流带宽(MB/s),4468
bgonly_rw-read_bs-64k_iodepth-1_count-1_iter-3,总带宽(KB/s),4585806,总带宽(MB/s),4478,平均单流带宽(KB/s),4585806,平均单流带宽(MB/s),4478
bgonly_rw-read_bs-64k_iodepth-1_count-8_iter-1,总带宽(KB/s),5592529,总带宽(MB/s),5461,平均单流带宽(KB/s),699066,平均单流带宽(MB/s),682
bgonly_rw-read_bs-64k_iodepth-1_count-8_iter-2,总带宽(KB/s),5636536,总带宽(MB/s),5504,平均单流带宽(KB/s),704567,平均单流带宽(MB/s),688
bgonly_rw-read_bs-64k_iodepth-1_count-8_iter-3,总带宽(KB/s),5637488,总带宽(MB/s),5505,平均单流带宽(KB/s),704686,平均单流带宽(MB/s),688
bgonly_rw-read_bs-64k_iodepth-4_count-1_iter-1,总带宽(KB/s),8848365,总带宽(MB/s),8640,平均单流带宽(KB/s),8848365,平均单流带宽(MB/s),8640
bgonly_rw-read_bs-64k_iodepth-4_count-1_iter-2,总带宽(KB/s),8918018,总带宽(MB/s),8709,平均单流带宽(KB/s),8918018,平均单流带宽(MB/s),8709
bgonly_rw-read_bs-64k_iodepth-4_count-1_iter-3,总带宽(KB/s),8844257,总带宽(MB/s),8636,平均单流带宽(KB/s),8844257,平均单流带宽(MB/s),8636
bgonly_rw-read_bs-64k_iodepth-4_count-8_iter-1,总带宽(KB/s),13716283,总带宽(MB/s),13394,平均单流带宽(KB/s),1714535,平均单流带宽(MB/s),1674
bgonly_rw-read_bs-64k_iodepth-4_count-8_iter-2,总带宽(KB/s),13812178,总带宽(MB/s),13488,平均单流带宽(KB/s),1726522,平均单流带宽(MB/s),1686
bgonly_rw-read_bs-64k_iodepth-4_count-8_iter-3,总带宽(KB/s),13750844,总带宽(MB/s),13428,平均单流带宽(KB/s),1718855,平均单流带宽(MB/s),1678
bgonly_rw-read_bs-64k_iodepth-16_count-1_iter-1,总带宽(KB/s),11029417,总带宽(MB/s),10770,平均单流带宽(KB/s),11029417,平均单流带宽(MB/s),10770
bgonly_rw-read_bs-64k_iodepth-16_count-1_iter-2,总带宽(KB/s),11137766,总带宽(MB/s),10876,平均单流带宽(KB/s),11137766,平均单流带宽(MB/s),10876
bgonly_rw-read_bs-64k_iodepth-16_count-1_iter-3,总带宽(KB/s),10794744,总带宽(MB/s),10541,平均单流带宽(KB/s),10794744,平均单流带宽(MB/s),10541
bgonly_rw-read_bs-64k_iodepth-16_count-8_iter-1,总带宽(KB/s),14275200,总带宽(MB/s),13940,平均单流带宽(KB/s),1784400,平均单流带宽(MB/s),1742
bgonly_rw-read_bs-64k_iodepth-16_count-8_iter-2,总带宽(KB/s),14085060,总带宽(MB/s),13754,平均单流带宽(KB/s),1760632,平均单流带宽(MB/s),1719
bgonly_rw-read_bs-64k_iodepth-16_count-8_iter-3,总带宽(KB/s),14276472,总带宽(MB/s),13941,平均单流带宽(KB/s),1784559,平均单流带宽(MB/s),1742
bgonly_rw-read_bs-64k_iodepth-64_count-1_iter-1,总带宽(KB/s),14625111,总带宽(MB/s),14282,平均单流带宽(KB/s),14625111,平均单流带宽(MB/s),14282
bgonly_rw-read_bs-64k_iodepth-64_count-1_iter-2,总带宽(KB/s),14262259,总带宽(MB/s),13927,平均单流带宽(KB/s),14262259,平均单流带宽(MB/s),13927
bgonly_rw-read_bs-64k_iodepth-64_count-1_iter-3,总带宽(KB/s),12997661,总带宽(MB/s),12693,平均单流带宽(KB/s),12997661,平均单流带宽(MB/s),12693
bgonly_rw-read_bs-64k_iodepth-64_count-8_iter-1,总带宽(KB/s),10799524,总带宽(MB/s),10546,平均单流带宽(KB/s),1349940,平均单流带宽(MB/s),1318
bgonly_rw-read_bs-64k_iodepth-64_count-8_iter-2,总带宽(KB/s),10758449,总带宽(MB/s),10506,平均单流带宽(KB/s),1344806,平均单流带宽(MB/s),1313
bgonly_rw-read_bs-64k_iodepth-64_count-8_iter-3,总带宽(KB/s),10809639,总带宽(MB/s),10556,平均单流带宽(KB/s),1351204,平均单流带宽(MB/s),1319
bgonly_rw-read_bs-64k_iodepth-256_count-1_iter-1,总带宽(KB/s),14625062,总带宽(MB/s),14282,平均单流带宽(KB/s),14625062,平均单流带宽(MB/s),14282
bgonly_rw-read_bs-64k_iodepth-256_count-1_iter-2,总带宽(KB/s),14625352,总带宽(MB/s),14282,平均单流带宽(KB/s),14625352,平均单流带宽(MB/s),14282
bgonly_rw-read_bs-64k_iodepth-256_count-1_iter-3,总带宽(KB/s),14576957,总带宽(MB/s),14235,平均单流带宽(KB/s),14576957,平均单流带宽(MB/s),14235
bgonly_rw-read_bs-64k_iodepth-256_count-8_iter-1,总带宽(KB/s),10790900,总带宽(MB/s),10537,平均单流带宽(KB/s),1348862,平均单流带宽(MB/s),1317
bgonly_rw-read_bs-64k_iodepth-256_count-8_iter-2,总带宽(KB/s),10785741,总带宽(MB/s),10532,平均单流带宽(KB/s),1348217,平均单流带宽(MB/s),1316
bgonly_rw-read_bs-64k_iodepth-256_count-8_iter-3,总带宽(KB/s),10789334,总带宽(MB/s),10536,平均单流带宽(KB/s),1348666,平均单流带宽(MB/s),1317
bgonly_rw-read_bs-64k_iodepth-1024_count-1_iter-1,总带宽(KB/s),14607256,总带宽(MB/s),14264,平均单流带宽(KB/s),14607256,平均单流带宽(MB/s),14264
bgonly_rw-read_bs-64k_iodepth-1024_count-1_iter-2,总带宽(KB/s),14612016,总带宽(MB/s),14269,平均单流带宽(KB/s),14612016,平均单流带宽(MB/s),14269
bgonly_rw-read_bs-64k_iodepth-1024_count-1_iter-3,总带宽(KB/s),14607896,总带宽(MB/s),14265,平均单流带宽(KB/s),14607896,平均单流带宽(MB/s),14265
bgonly_rw-read_bs-64k_iodepth-1024_count-8_iter-1,总带宽(KB/s),10792934,总带宽(MB/s),10539,平均单流带宽(KB/s),1349116,平均单流带宽(MB/s),1317
bgonly_rw-read_bs-64k_iodepth-1024_count-8_iter-2,总带宽(KB/s),10785684,总带宽(MB/s),10532,平均单流带宽(KB/s),1348210,平均单流带宽(MB/s),1316
bgonly_rw-read_bs-64k_iodepth-1024_count-8_iter-3,总带宽(KB/s),10836094,总带宽(MB/s),10582,平均单流带宽(KB/s),1354511,平均单流带宽(MB/s),1322
bgonly_rw-read_bs-256k_iodepth-1_count-1_iter-1,总带宽(KB/s),7595491,总带宽(MB/s),7417,平均单流带宽(KB/s),7595491,平均单流带宽(MB/s),7417
bgonly_rw-read_bs-256k_iodepth-1_count-1_iter-2,总带宽(KB/s),7606174,总带宽(MB/s),7427,平均单流带宽(KB/s),7606174,平均单流带宽(MB/s),7427
bgonly_rw-read_bs-256k_iodepth-1_count-1_iter-3,总带宽(KB/s),7517348,总带宽(MB/s),7341,平均单流带宽(KB/s),7517348,平均单流带宽(MB/s),7341
bgonly_rw-read_bs-256k_iodepth-1_count-8_iter-1,总带宽(KB/s),11279216,总带宽(MB/s),11014,平均单流带宽(KB/s),1409902,平均单流带宽(MB/s),1376
bgonly_rw-read_bs-256k_iodepth-1_count-8_iter-2,总带宽(KB/s),11168426,总带宽(MB/s),10906,平均单流带宽(KB/s),1396053,平均单流带宽(MB/s),1363
bgonly_rw-read_bs-256k_iodepth-1_count-8_iter-3,总带宽(KB/s),11286456,总带宽(MB/s),11021,平均单流带宽(KB/s),1410807,平均单流带宽(MB/s),1377
bgonly_rw-read_bs-256k_iodepth-4_count-1_iter-1,总带宽(KB/s),9760578,总带宽(MB/s),9531,平均单流带宽(KB/s),9760578,平均单流带宽(MB/s),9531
bgonly_rw-read_bs-256k_iodepth-4_count-1_iter-2,总带宽(KB/s),10014188,总带宽(MB/s),9779,平均单流带宽(KB/s),10014188,平均单流带宽(MB/s),9779
bgonly_rw-read_bs-256k_iodepth-4_count-1_iter-3,总带宽(KB/s),9523060,总带宽(MB/s),9299,平均单流带宽(KB/s),9523060,平均单流带宽(MB/s),9299
bgonly_rw-read_bs-256k_iodepth-4_count-8_iter-1,总带宽(KB/s),13546200,总带宽(MB/s),13228,平均单流带宽(KB/s),1693275,平均单流带宽(MB/s),1653
bgonly_rw-read_bs-256k_iodepth-4_count-8_iter-2,总带宽(KB/s),14434189,总带宽(MB/s),14095,平均单流带宽(KB/s),1804273,平均单流带宽(MB/s),1761
bgonly_rw-read_bs-256k_iodepth-4_count-8_iter-3,总带宽(KB/s),13755017,总带宽(MB/s),13432,平均单流带宽(KB/s),1719377,平均单流带宽(MB/s),1679
bgonly_rw-read_bs-256k_iodepth-16_count-1_iter-1,总带宽(KB/s),14105222,总带宽(MB/s),13774,平均单流带宽(KB/s),14105222,平均单流带宽(MB/s),13774
bgonly_rw-read_bs-256k_iodepth-16_count-1_iter-2,总带宽(KB/s),13124398,总带宽(MB/s),12816,平均单流带宽(KB/s),13124398,平均单流带宽(MB/s),12816
bgonly_rw-read_bs-256k_iodepth-16_count-1_iter-3,总带宽(KB/s),13688294,总带宽(MB/s),13367,平均单流带宽(KB/s),13688294,平均单流带宽(MB/s),13367
bgonly_rw-read_bs-256k_iodepth-16_count-8_iter-1,总带宽(KB/s),13038530,总带宽(MB/s),12732,平均单流带宽(KB/s),1629816,平均单流带宽(MB/s),1591
bgonly_rw-read_bs-256k_iodepth-16_count-8_iter-2,总带宽(KB/s),13176941,总带宽(MB/s),12868,平均单流带宽(KB/s),1647117,平均单流带宽(MB/s),1608
bgonly_rw-read_bs-256k_iodepth-16_count-8_iter-3,总带宽(KB/s),14140635,总带宽(MB/s),13809,平均单流带宽(KB/s),1767579,平均单流带宽(MB/s),1726
